"","x"
"333",17806.5425564836
"334",17799.2247975611
"335",17791.9100459375
"336",17784.5983003769
"337",17777.289559644
"338",17769.9838225039
"339",17762.6810877222
"340",17755.381354065
"341",17748.0846202992
"342",17740.7908851917
"343",17733.5001475103
"344",17726.2124060232
"345",17718.927659499
"346",17711.645906707
"347",17704.3671464168
"348",17697.0913773987
"349",17689.8185984233
"350",17682.5488082619
"351",17675.2820056862
"352",17668.0181894685
"353",17660.7573583813
"354",17653.4995111981
"355",17646.2446466925
"356",17638.9927636387
"357",17631.7438608116
"358",17624.4979369863
"359",17924.4979369863
"360",17917.1317032386
"361",17909.7684967109
"362",17902.4083161593
"363",17895.0511603401
"364",17887.6970280103
"365",17880.3459179274
"366",17872.9978288493
"367",17865.6527595345
"368",17858.3107087421
"369",17850.9716752316
"370",17843.6356577629
"371",17836.3026550966
"372",17828.9726659938
"373",17821.6456892159
"374",17814.3217235251
"375",17807.000767684
"376",17799.6828204555
